Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Julian Gray,FW,Birmingham City,32,2,0,2,2,0,0,0,0
Michael Gray,MF,Blackburn,9,0,0,0,0,0,0,0,0
Jonathan Greening,MF,West Brom,34,0,9,9,0,0,0,4,1
Léandre Griffit,FW,Southampton,2,0,0,0,0,0,,0,0
Jesper Grønkjær,FW,Birmingham City,16,0,1,1,0,0,0,1,0
Eiður Guðjohnsen,FW,Chelsea,37,12,6,18,11,1,1,1,0
El Hadji Diouf,FW,Bolton,27,9,4,13,8,1,2,7,0
Fitz Hall,FW,Crystal Palace,36,2,0,2,2,0,0,3,0
Dietmar Hamann,MF,Liverpool,30,0,6,6,0,0,0,6,0
Elvis Hammond,FW,Fulham,1,0,0,0,0,0,0,0,0
Ian Henderson,FW,Norwich City,3,0,0,0,0,0,0,0,0
Lee Hendrie,MF,Aston Villa,29,5,2,7,5,0,0,9,1
Thierry Henry,FW,Arsenal,32,25,14,39,25,0,1,2,0
Emile Heskey,FW,Birmingham City,34,10,4,14,10,0,0,6,0
Fernando Hierro,MF,Bolton,29,1,1,2,1,0,0,3,0
Thomas Hitzlsperger,MF,Aston Villa,28,2,2,4,2,0,0,1,0
Matt Holland,MF,Charlton Ath,32,3,1,4,3,0,0,0,0
Gary Holt,MF,Norwich City,27,0,1,1,0,0,0,0,0
Geoff Horsfield,FW,West Brom,29,3,3,6,3,0,0,2,0
Darren Huckerby,FW,Norwich City,37,6,6,12,4,2,3,0,0
Bryan Hughes,MF,Charlton Ath,17,1,0,1,1,0,0,1,0
Michael Hughes,MF,Crystal Palace,36,2,2,4,2,0,0,9,0
Richard Hughes,MF,Portsmouth,16,0,0,0,0,0,0,4,0
Robert Hulse,FW,West Brom,5,0,0,0,0,0,0,0,0
Junichi Inamoto,MF,West Brom,3,0,0,0,0,0,0,0,0
Muzzy Izzet,MF,Birmingham City,10,1,1,2,1,0,0,3,1
Johnnie Jackson,MF,Tottenham,8,0,0,0,0,0,0,1,0
Andreas Jakobsson,MF,Southampton,27,2,0,2,2,0,0,1,0
Matt Jansen,FW,Blackburn,7,2,0,2,2,0,0,0,0
Jiří Jarošík,MF,Chelsea,14,0,0,0,0,0,0,1,0
Ryan Jarvis,FW,Norwich City,4,1,0,1,1,0,0,0,0
Francis Jeffers,FW,Charlton Ath,20,3,3,6,3,0,0,2,0
Jermaine Jenas,MF,Newcastle Utd,31,1,3,4,1,0,0,4,0
Claus Jensen,MF,Fulham,12,0,2,2,0,0,0,0,1
Joseph-Désiré Job,FW,Middlesbrough,23,4,1,5,4,0,0,0,0
Jonatan Johansson,FW,Charlton Ath,26,4,1,5,4,0,0,0,0
Collins John,FW,Fulham,27,4,0,4,4,0,0,2,0
Stern John,FW,Birmingham City,3,0,0,0,0,0,,0,0
Andrew Johnson,FW,Crystal Palace,37,21,3,24,11,10,12,4,0
Andy Johnson,MF,West Brom,22,0,1,1,0,0,0,3,0
Damien Johnson,MF,Birmingham City,36,0,1,1,0,0,0,9,2
Jemal Johnson,FW,Blackburn,3,0,0,0,0,0,0,0,0
Kenwyne Jones,FW,Southampton,2,0,0,0,0,0,,0,0
Mattias Jonson,FW,Norwich City,28,0,2,2,0,0,0,3,1
Blessing Kaku,MF,Bolton,1,0,0,0,0,0,0,0,0
Diomansy Kamara,FW,Portsmouth,25,4,0,4,4,0,0,3,0
Frédéric Kanouté,FW,Tottenham,32,7,6,13,7,0,0,4,1
Nwankwo Kanu,FW,West Brom,28,2,0,2,2,0,0,2,0
Talal El Karkouri,MF,Charlton Ath,32,5,0,5,5,0,0,5,1
Iván Kaviedes,FW,Crystal Palace,4,0,0,0,0,0,0,0,0
Robbie Keane,FW,Tottenham,35,11,5,16,10,1,1,0,0
Roy Keane,MF,Manchester Utd,31,1,2,3,1,0,0,9,0
James Keene,FW,Portsmouth,2,0,0,0,0,0,,0,0
Jason Kennedy,MF,Middlesbrough,1,0,0,0,0,0,0,0,0
Tugay Kerimoğlu,MF,Blackburn,21,0,1,1,0,0,0,8,1
Harry Kewell,FW,Liverpool,18,1,2,3,1,0,0,0,0
Mateja Kežman,FW,Chelsea,25,4,0,4,3,1,1,3,0
Kevin Kilbane,MF,Everton,38,1,3,4,1,0,0,3,0
Ledley King,MF,Tottenham,38,2,0,2,2,0,0,2,0
Radostin Kishishev,MF,Charlton Ath,31,0,1,1,0,0,0,4,0
José Kléberson,MF,Manchester Utd,8,0,1,1,0,0,0,1,0
Patrick Kluivert,FW,Newcastle Utd,25,6,1,7,6,0,0,3,0
Joonas Kolkka,MF,Crystal Palace,23,3,2,5,3,0,0,1,0
Paul Konchesky,FW,Charlton Ath,28,1,2,3,1,0,0,3,0
Jason Koumas,MF,West Brom,10,0,1,1,0,0,0,1,0
Vasilis Lakis,FW,Crystal Palace,18,0,1,1,0,0,0,1,1
Frank Lampard,MF,Chelsea,38,13,18,31,10,3,3,6,0
Stan Lazaridis,MF,Birmingham City,20,0,1,1,0,0,0,1,0
Anthony Le Tallec,FW,Liverpool,4,0,0,0,0,0,0,1,0
Sylvain Legwinski,MF,Fulham,15,1,0,1,1,0,0,3,0
Mikele Leigertwood,MF,Crystal Palace,20,1,0,1,1,0,0,3,0
Kevin Lisbie,FW,Charlton Ath,17,1,0,1,1,0,0,0,0
Freddie Ljungberg,FW,Arsenal,26,10,8,18,10,0,0,2,0
Lomana LuaLua,FW,Portsmouth,25,6,3,9,6,0,0,2,1
Mbulelo Mabizela,MF,Tottenham,1,0,0,0,0,0,,0,0
Jon Macken,FW,Manchester City,23,1,3,4,1,0,0,0,0
Claude Makélélé,MF,Chelsea,36,1,2,3,1,0,1,6,0
Steed Malbranque,MF,Fulham,26,6,6,12,5,1,2,0,0
Dean Marney,MF,Tottenham,5,2,1,3,2,0,0,3,0
Dominic Matteo,MF,Blackburn,28,0,1,1,0,0,0,7,0
Brian McBride,FW,Fulham,31,6,4,10,6,0,0,0,0
Gavin McCann,MF,Aston Villa,20,1,1,2,1,0,0,3,0
Neil McCann,MF,Southampton,11,0,2,2,0,0,0,3,0
James McFadden,FW,Everton,23,1,0,1,1,0,0,1,0
Leon McKenzie,FW,Norwich City,37,7,4,11,7,0,0,4,0
Billy McKinlay,MF,Fulham,2,0,0,0,0,0,0,0,0
Tony McMahon,MF,Middlesbrough,13,0,0,0,0,0,0,2,0
Steve McManaman,MF,Manchester City,13,0,0,0,0,0,0,1,0
Paul McVeigh,FW,Norwich City,17,1,0,1,1,0,0,0,0
Olof Mellberg,MF,Aston Villa,30,3,1,4,3,0,0,6,0
Neil Mellor,FW,Liverpool,9,2,0,2,2,0,0,0,0
Pedro Mendes,MF,Tottenham,24,1,1,2,1,0,0,3,0
Tiago Mendes,MF,Chelsea,34,4,3,7,4,0,0,4,0
Gaizka Mendieta,MF,Middlesbrough,7,0,1,1,0,0,0,1,0
Valéry Mézague,MF,Portsmouth,11,0,0,0,0,0,0,0,0
Mido,FW,Tottenham,9,2,0,2,2,0,0,1,0
Liam Miller,MF,Manchester Utd,8,0,0,0,0,0,0,0,0
James Milner,MF,Newcastle Utd,25,1,1,2,1,0,0,0,0
Aaron Mokoena,MF,Blackburn,16,0,1,1,0,0,0,5,0
Luke Moore,FW,Aston Villa,25,1,0,1,1,0,0,1,0
Stefan Moore,FW,Aston Villa,1,0,0,0,0,0,,0,0
Nuno Morais,MF,Chelsea,2,0,0,0,0,0,0,0,0
Fernando Morientes,FW,Liverpool,13,3,0,3,3,0,0,1,0
Clinton Morrison,FW,Birmingham City,26,4,2,6,4,0,0,4,0
James Morrison,FW,Middlesbrough,14,0,1,1,0,0,0,1,0
Philip Mulryne,MF,Norwich City,10,0,0,0,0,0,0,0,0
Danny Murphy,MF,Charlton Ath,38,3,7,10,3,0,0,4,0
Kiki Musampa,FW,Manchester City,14,3,2,5,3,0,0,0,0
Adrian Mutu,FW,Chelsea,2,0,1,1,0,0,0,0,0
Charles N'Zogbia,FW,Newcastle Utd,14,0,1,1,0,0,0,2,0
Mehdi Nafti,MF,Birmingham City,10,0,0,0,0,0,0,4,0
Gary Naysmith,MF,Everton,11,0,0,0,0,0,0,2,1
Christian Negouai,MF,Manchester City,1,0,0,0,0,0,0,0,1
Szilárd Németh,FW,Middlesbrough,31,4,3,7,4,0,0,1,0
Phil Neville,MF,Manchester Utd,19,0,0,0,0,0,0,3,0
Mikael Nilsson,MF,Southampton,16,0,1,1,0,0,0,0,0
Ruud van Nistelrooy,FW,Manchester Utd,17,6,1,7,3,3,3,1,0
Kevin Nolan,MF,Bolton,36,4,2,6,4,0,0,5,0
Antonio Núñez,MF,Liverpool,18,0,0,0,0,0,0,2,0
Joey O'Brien,MF,Bolton,1,0,0,0,0,0,,0,0
Gary O'Neil,MF,Portsmouth,24,2,2,4,2,0,0,3,0
John O'Shea,MF,Manchester Utd,23,2,1,3,2,0,0,1,0
Matt Oakley,MF,Southampton,7,1,1,2,1,0,0,0,0
Jay-Jay Okocha,MF,Bolton,31,6,2,8,2,4,4,2,0
Filipe Oliveira,MF,Chelsea,1,0,0,0,0,0,,0,0
Brett Ormerod,FW,Southampton,9,0,0,0,0,0,0,1,0
Leon Osman,MF,Everton,29,6,2,8,6,0,0,3,0
Quincy Owusu-Abeyie,FW,Arsenal,1,0,0,0,0,0,0,0,0
Juan Pablo Ángel,FW,Aston Villa,35,7,5,12,7,0,3,2,0
Walter Pandiani,FW,Birmingham City,14,4,2,6,3,1,1,2,0
Scott Parker,MF,Chelsea,4,0,0,0,0,0,0,1,0
Ray Parlour,MF,Middlesbrough,33,0,0,0,0,0,0,12,1
Henrik Pedersen,FW,Bolton,27,6,1,7,6,0,0,0,0
Javier de Pedro,MF,Blackburn,2,0,0,0,0,0,,0,0
Mark Pembridge,MF,Fulham,28,0,5,5,0,0,0,2,0
Jermaine Pennant,MF,Arsenal,7,0,0,0,0,0,0,0,0
Jermaine Pennant,MF,Birmingham City,12,0,3,3,0,0,0,3,0
Robin van Persie,FW,Arsenal,26,5,0,5,5,0,0,4,1
Kevin Phillips,FW,Southampton,30,10,1,11,9,1,1,3,0
Robert Pirès,FW,Arsenal,33,14,4,18,13,1,1,2,0
Darren Potter,MF,Liverpool,2,0,0,0,0,0,0,0,0
David Prutton,MF,Southampton,23,2,2,4,2,0,0,7,1
Nigel Quashie,MF,Southampton,13,1,2,3,,,,1,0
Nigel Quashie,MF,Portsmouth,19,0,0,0,,,,2,0
Tomasz Radzinski,FW,Fulham,35,6,4,10,6,0,0,1,0
Jamie Redknapp,MF,Southampton,16,,2,,,,,5,
Jamie Redknapp,MF,Tottenham,14,,1,,,,,5,
Andy Reid,MF,Tottenham,13,1,1,2,1,0,0,2,0
Steven Reid,MF,Blackburn,28,2,4,6,2,0,0,3,0
Claudio Reyna,MF,Manchester City,17,2,1,3,2,0,0,0,0
Kieran Richardson,MF,Manchester Utd,2,0,0,0,0,0,0,0,0
Kieran Richardson,MF,West Brom,12,3,1,4,3,0,0,2,0
Rohan Ricketts,MF,Tottenham,6,0,0,0,0,0,0,0,0
Aki Riihilahti,MF,Crystal Palace,31,4,4,8,4,0,0,3,0
Arjen Robben,FW,Chelsea,18,7,9,16,7,0,0,5,0
Laurent Robert,FW,Newcastle Utd,31,3,5,8,3,0,0,4,0
Aleksandar Rodić,FW,Portsmouth,4,0,0,0,0,0,0,0,0
Dennis Rommedahl,FW,Charlton Ath,26,2,0,2,2,0,0,1,0
Cristiano Ronaldo,FW,Manchester Utd,33,5,4,9,5,0,0,3,0
Wayne Rooney,FW,Manchester Utd,29,11,2,13,11,0,1,7,0
Wayne Routledge,FW,Crystal Palace,38,0,9,9,0,0,0,1,0
Youssef Safri,MF,Norwich City,18,1,0,1,1,0,0,4,0
Louis Saha,FW,Manchester Utd,14,1,2,3,1,0,0,0,0
Artim Šakiri,MF,West Brom,3,0,0,0,0,0,0,0,0
Lloyd Sam,MF,Charlton Ath,1,0,0,0,0,0,0,0,0
Jlloyd Samuel,MF,Aston Villa,35,0,0,0,0,0,0,6,0
Robbie Savage,MF,Blackburn,9,0,1,1,,,,3,0
Robbie Savage,MF,Birmingham City,18,4,2,6,,,,5,0
Paul Scholes,MF,Manchester Utd,33,9,3,12,9,0,0,5,1
Riccardo Scimeca,MF,West Brom,33,0,3,3,0,0,0,3,0
Alan Shearer,FW,Newcastle Utd,28,7,0,7,4,3,3,0,0
Neil Shipperley,FW,Crystal Palace,1,0,0,0,0,0,,0,0
Antoine Sibierski,FW,Manchester City,35,4,1,5,3,1,1,3,0
Gilberto Silva,MF,Arsenal,13,0,1,1,0,0,0,0,0
Florent Sinama Pongolle,FW,Liverpool,16,2,0,2,2,0,0,1,0
Trevor Sinclair,MF,Manchester City,4,1,0,1,1,0,0,0,0
Giannis Skopelitis,MF,Portsmouth,13,0,0,0,0,0,0,2,0
Alexey Smertin,MF,Chelsea,16,0,0,0,0,0,0,2,0
Vladimír Šmicer,FW,Liverpool,10,0,0,0,0,0,0,0,0
Alan Smith,FW,Manchester Utd,31,6,4,10,6,0,0,4,1
Tom Soares,MF,Crystal Palace,22,0,2,2,0,0,0,4,0
Nolberto Solano,MF,Aston Villa,36,8,5,13,8,0,0,6,0
Jonathan Spector,MF,Manchester Utd,3,0,0,0,0,0,0,0,0
Gary Speed,MF,Bolton,38,1,5,6,1,0,0,1,0
Jon Stead,FW,Blackburn,29,2,1,3,2,0,0,6,0
Steve Stone,MF,Portsmouth,23,3,1,4,3,0,0,1,0
Graham Stuart,FW,Norwich City,8,0,1,1,0,0,0,1,0
Graham Stuart,FW,Charlton Ath,4,0,0,0,0,0,0,3,0
Anders Svensson,MF,Southampton,30,4,0,4,4,0,0,0,0
Mathias Svensson,FW,Norwich City,22,4,3,7,4,0,0,2,0
Matthew Taylor,MF,Portsmouth,32,1,0,1,1,0,0,4,0
Paul Telfer,MF,Southampton,30,0,2,2,0,0,0,2,0
Jerome Thomas,FW,Charlton Ath,24,3,2,5,3,0,0,3,0
David Thompson,MF,Blackburn,24,0,3,3,0,0,0,4,1
Sándor Torghelle,FW,Crystal Palace,12,0,0,0,0,0,0,1,0
Jelle Van Damme,MF,Southampton,6,0,0,0,0,0,0,0,0
Darius Vassell,FW,Aston Villa,21,2,1,3,2,0,0,0,0
James Vaughan,FW,Everton,2,1,0,1,1,0,0,0,0
Ricardo Vaz Tê,FW,Bolton,7,0,0,0,0,0,0,1,0
Nicola Ventola,FW,Crystal Palace,3,1,0,1,1,0,0,0,0
Mark Viduka,FW,Middlesbrough,16,5,1,6,5,0,0,0,0
Patrick Vieira,MF,Arsenal,32,6,6,12,6,0,0,9,0
Ronnie Wallwork,MF,West Brom,20,1,0,1,1,0,0,1,0
Ben Watson,MF,Crystal Palace,21,0,0,0,0,0,0,3,0
Steve Watson,MF,Everton,25,0,1,1,0,0,0,1,0
John Welsh,MF,Liverpool,3,0,0,0,0,0,0,0,0
Peter Whittingham,MF,Aston Villa,13,1,0,1,1,0,0,1,0
Bradley Wright-Phillips,FW,Manchester City,14,1,0,1,1,0,0,0,0
Shaun Wright-Phillips,FW,Manchester City,34,10,4,14,10,0,0,0,0
Mark Yeates,FW,Tottenham,2,0,0,0,0,0,,1,0
Dwight Yorke,FW,Blackburn,4,0,0,0,,,,0,0
Dwight Yorke,FW,Birmingham City,13,2,0,2,2,0,0,1,0
Boudewijn Zenden,FW,Middlesbrough,36,5,1,6,4,1,1,8,0
Reto Ziegler,MF,Tottenham,23,1,1,2,1,0,0,1,0
