Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Matt Hill,DF,Wolves,,,,,
Zavon Hines,MF,West Ham,,,,,
Junior Hoilett,MF,Blackburn,,,,,
Stuart Holden,MF,Bolton,,,,,
Hermann Hreiðarsson,DF,Portsmouth,,,,,
Tom Huddlestone,MF,Tottenham,,,,,
Aaron Hughes,DF,Fulham,,,,,
Richard Hughes,MF,Portsmouth,,,,,
Stephen Hunt,MF,Hull City,,,,,
Sam Hutchinson,DF,Chelsea,,,,,
Robert Huth,DF,Stoke City,,,,,
Alan Hutton,DF,Tottenham,,,,,
Alan Hutton,DF,Sunderland,,,,,
Abdisalam Ibrahim,DF,Manchester City,,,,,
Hérita Ilunga,DF,West Ham,,,,,
Emiliano Insúa,DF,Liverpool,,,,,
Stephen Ireland,MF,Manchester City,,,,,
Branislav Ivanović,DF,Chelsea,,,,,
Lars Jacobsen,DF,Blackburn,,,,,
Phil Jagielka,DF,Everton,,,,,
Matthew Jarvis,MF,Wolves,,,,,
Jermaine Jenas,MF,Tottenham,,,,,
Park Ji-sung,MF,Manchester Utd,,,,,
Luis Jiménez,MF,West Ham,,,,,
Adam Johnson,MF,Manchester City,,,,,
Damien Johnson,MF,Birmingham City,,,,,
Glen Johnson,DF,Liverpool,,,,,
Michael Johnson,MF,Manchester City,,,,,
Roger Johnson,DF,Birmingham City,,,,,
David Jones,MF,Wolves,,,,,
Phil Jones,DF,Blackburn,,,,,
Nigel de Jong,MF,Manchester City,,,,,
Stephen Jordan,DF,Burnley,,,,,
Younès Kaboul,DF,Tottenham,,,,,
Younès Kaboul,DF,Portsmouth,,,,,
Gaël Kakuta,MF,Chelsea,,,,,
Toni Kallio,DF,Fulham,,,,,
Salomon Kalou,MF,Chelsea,,,,,
Christian Kalvenes,DF,Burnley,,,,,
Olivier Kapo,MF,Wigan Athletic,,,,,
Martin Kelly,DF,Liverpool,,,,,
Stephen Kelly,DF,Fulham,,,,,
Andy Keogh,MF,Wolves,,,,,
Seol Ki-hyeon,MF,Fulham,,,,,
Michael Kightly,MF,Wolves,,,,,
Kevin Kilbane,DF,Hull City,,,,,
Matthew Kilgallon,DF,Sunderland,,,,,
Ledley King,DF,Tottenham,,,,,
Zat Knight,DF,Bolton,,,,,
Vincent Kompany,DF,Manchester City,,,,,
Paul Konchesky,DF,Fulham,,,,,
Jason Koumas,MF,Wigan Athletic,,,,,
Radoslav Kováč,DF,West Ham,,,,,
Niko Kranjčar,MF,Tottenham,,,,,
Niko Kranjčar,MF,Portsmouth,,,,,
Dirk Kuyt,DF,Liverpool,,,,,
Sotirios Kyrgiakos,DF,Liverpool,,,,,
Frank Lampard,MF,Chelsea,,,,,
Henri Lansbury,MF,Arsenal,,,,,
Sebastian Larsson,MF,Birmingham City,,,,,
Liam Lawrence,MF,Stoke City,,,,,
Grant Leadbitter,MF,Sunderland,,,,,
Lucas Leiva,MF,Liverpool,,,,,
Aaron Lennon,MF,Tottenham,,,,,
Joleon Lescott,DF,Manchester City,,,,,
Joleon Lescott,DF,Everton,,,,,
Amine Linganzi,MF,Blackburn,,,,,
Jake Livermore,MF,Tottenham,,,,,
Steed Malbranque,MF,Sunderland,,,,,
Florent Malouda,MF,Chelsea,,,,,
Michael Mancienne,DF,Wolves,,,,,
Dean Marney,MF,Hull City,,,,,
Javier Mascherano,DF,Liverpool,,,,,
Nemanja Matić,MF,Chelsea,,,,,
Chris McCann,DF,Burnley,,,,,
Gavin McCann,MF,Bolton,,,,,
James McCarthy,MF,Wigan Athletic,,,,,
George McCartney,DF,Sunderland,,,,,
Kevin McDonald,MF,Burnley,,,,,
James McFadden,MF,Birmingham City,,,,,
Paul McShane,DF,Hull City,,,,,
Gary McSheffrey,MF,Birmingham City,,,,,
Tyrone Mears,DF,Burnley,,,,,
Mario Melchiot,DF,Wigan Athletic,,,,,
Bernard Mendy,DF,Hull City,,,,,
John Mensah,DF,Sunderland,,,,,
Fran Mérida,MF,Arsenal,,,,,
David Meyler,MF,Sunderland,,,,,
Míchel,MF,Birmingham City,,,,,
Nenad Milijaš,MF,Wolves,,,,,
James Milner,DF,Aston Villa,,,,,
Luka Modrić,MF,Tottenham,,,,,
Aaron Mokoena,DF,Portsmouth,,,,,
Victor Moses,DF,Wigan Athletic,,,,,
Steven Mouyokolo,DF,Hull City,,,,,
Fabrice Muamba,MF,Bolton,,,,,
Geoffrey Mujangi Bia,MF,Wolves,,,,,
Hayden Mullins,MF,Portsmouth,,,,,
Danny Murphy,MF,Fulham,,,,,
Daryl Murphy,MF,Sunderland,,,,,
Riga Mustapha,MF,Bolton,,,,,
Charles N'Zogbia,DF,Wigan Athletic,,,,,
Nani,MF,Manchester Utd,,,,,
Samir Nasri,MF,Arsenal,,,,,
Kyle Naughton,DF,Tottenham,,,,,
Lucas Neill,DF,Everton,,,,,
Ryan Nelsen,DF,Blackburn,,,,,
Gary Neville,DF,Manchester Utd,,,,,
Phil Neville,DF,Everton,,,,,
Mark Noble,MF,West Ham,,,,,
Nyron Nosworthy,DF,Sunderland,,,,,
Frank Nouble,MF,West Ham,,,,,
Steven Nzonzi,MF,Blackburn,,,,,
Andy O'Brien,DF,Bolton,,,,,
Jamie O'Hara,MF,Tottenham,,,,,
Jamie O'Hara,MF,Portsmouth,,,,,
Jay O'Shea,MF,Birmingham City,,,,,
John O'Shea,DF,Manchester Utd,,,,,
Gabriel Obertan,MF,Manchester Utd,,,,,
John Obi Mikel,MF,Chelsea,,,,,
Seyi Olofinjana,MF,Hull City,,,,,
Martin Olsson,DF,Blackburn,,,,,
Nedum Onuoha,DF,Manchester City,,,,,
Leon Osman,MF,Everton,,,,,
